,label,fullpath,img_dir,origin
id0_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0000,CelebDF-v2
id0_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0001,CelebDF-v2
id0_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0002,CelebDF-v2
id0_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0003,CelebDF-v2
id0_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0004,CelebDF-v2
id0_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0005,CelebDF-v2
id0_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0006,CelebDF-v2
id0_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0007,CelebDF-v2
id0_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0008,CelebDF-v2
id0_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id0_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id0_0009,CelebDF-v2
id10_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0000,CelebDF-v2
id10_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0001,CelebDF-v2
id10_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0002,CelebDF-v2
id10_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0003,CelebDF-v2
id10_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0004,CelebDF-v2
id10_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0005,CelebDF-v2
id10_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0006,CelebDF-v2
id1_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id1_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id1_0008,CelebDF-v2
id1_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id1_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id1_0009,CelebDF-v2
id2_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0000,CelebDF-v2
id2_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0001,CelebDF-v2
